epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6026.31,1.44279,3.60169,1.34373,0.75809,0.62226,0.7016,0.41939,1.47237,3.51791,1.38648,0.000828443,0.000828443,0.000828443
43,6168.62,1.42873,3.55372,1.3429,0.75361,0.6421,0.72032,0.43122,1.48563,3.39337,1.39409,0.000820525,0.000820525,0.000820525
44,6310.45,1.42344,3.52009,1.33583,0.76124,0.63725,0.72155,0.43581,1.46308,3.40534,1.37529,0.000812468,0.000812468,0.000812468
45,6452.48,1.42118,3.50817,1.33442,0.76371,0.6655,0.73179,0.43839,1.48079,3.4461,1.39724,0.000804277,0.000804277,0.000804277
46,6594.65,1.40099,3.47898,1.32198,0.73968,0.65738,0.72692,0.43442,1.45813,3.38038,1.36653,0.000795954,0.000795954,0.000795954
47,6736.44,1.40688,3.48917,1.32617,0.77097,0.64523,0.71995,0.42972,1.49113,3.42706,1.38656,0.000787503,0.000787503,0.000787503
48,6878.35,1.38869,3.3652,1.31676,0.80248,0.64581,0.72516,0.43605,1.45777,3.36287,1.37948,0.000778929,0.000778929,0.000778929
49,7020.18,1.38972,3.37678,1.31046,0.75978,0.63773,0.71476,0.43375,1.46751,3.44731,1.37389,0.000770234,0.000770234,0.000770234
50,7162.12,1.38843,3.36979,1.31166,0.75671,0.65513,0.7242,0.43751,1.46589,3.41853,1.38001,0.000761423,0.000761423,0.000761423
51,7304.09,1.38366,3.28562,1.30301,0.78858,0.64604,0.72591,0.43423,1.45448,3.35505,1.36984,0.0007525,0.0007525,0.0007525
52,7446.27,1.38161,3.37356,1.31724,0.7757,0.64956,0.7228,0.43189,1.45877,3.33607,1.37776,0.000743468,0.000743468,0.000743468
53,7588.1,1.36575,3.27184,1.29947,0.75601,0.65749,0.72513,0.44241,1.4351,3.27397,1.3569,0.000734332,0.000734332,0.000734332
54,7729.94,1.36026,3.24805,1.29623,0.76612,0.6559,0.72492,0.44027,1.45521,3.29713,1.37336,0.000725094,0.000725094,0.000725094
